instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,CasualClass,registered,registeredClass,cnt,cntClass,4&1,4&4,1&2,1&3,2&1,2&2,2&3,2&4,3&1,3&2,3&3,3&4,4&2,4&3
1,1/1/2011,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,2,654,1,985,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1/2/2011,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,1,670,1,801,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1/3/2011,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1,1229,1,1349,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1/4/2011,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1,1454,1,1562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1/5/2011,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1,1518,1,1600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1/6/2011,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1,1518,1,1606,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1/7/2011,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1,1362,1,1510,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1/8/2011,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,1,891,1,959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1/9/2011,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,1,768,1,822,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1/10/2011,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1,1280,1,1321,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1/11/2011,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1,1220,1,1263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1/12/2011,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1,1137,1,1162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1/13/2011,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1,1368,1,1406,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1/14/2011,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1,1367,1,1421,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1/15/2011,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1,1026,1,1248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1/16/2011,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,1,953,1,1204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1/17/2011,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,1,883,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1/18/2011,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,1,674,1,683,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1/19/2011,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1,1572,1,1650,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1/20/2011,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1,1844,1,1927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1/21/2011,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1,1468,1,1543,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1/22/2011,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,1,888,1,981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1/23/2011,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,1,836,1,986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1/24/2011,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1,1330,1,1416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1/25/2011,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1,1799,1,1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
